Source,Target,Type,weight,book,new_weight
Addam-Marbrand,Brynden-Tully,undirected,3,4,78
Addam-Marbrand,Cersei-Lannister,undirected,3,4,78
Addam-Marbrand,Jaime-Lannister,undirected,8,4,73
Addam-Marbrand,Lyle-Crakehall,undirected,4,4,77
Aegon-Targaryen-(son-of-Rhaegar),Rhaegar-Targaryen,undirected,3,4,78
Aegon-V-Targaryen,Aemon-Targaryen-(Maester-Aemon),undirected,3,4,78
Aemon-Targaryen-(Maester-Aemon),Alleras,undirected,4,4,77
Aemon-Targaryen-(Maester-Aemon),Clydas,undirected,5,4,76
Aemon-Targaryen-(Maester-Aemon),Dareon,undirected,5,4,76
Aemon-Targaryen-(Maester-Aemon),Gilly,undirected,17,4,64
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,undirected,17,4,64
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,undirected,41,4,40
Aeron-Greyjoy,Asha-Greyjoy,undirected,7,4,74
Aeron-Greyjoy,Baelor-Blacktyde,undirected,4,4,77
Aeron-Greyjoy,Balon-Greyjoy,undirected,17,4,64
Aeron-Greyjoy,Dunstan-Drumm,undirected,4,4,77
Aeron-Greyjoy,Emmond,undirected,4,4,77
Aeron-Greyjoy,Euron-Greyjoy,undirected,23,4,58
Aeron-Greyjoy,Gormond-Goodbrother,undirected,6,4,75
Aeron-Greyjoy,Gorold-Goodbrother,undirected,10,4,71
Aeron-Greyjoy,Greydon-Goodbrother,undirected,4,4,77
Aeron-Greyjoy,Meldred-Merlyn,undirected,7,4,74
Aeron-Greyjoy,Murenmure,undirected,11,4,70
Aeron-Greyjoy,Rus,undirected,5,4,76
Aeron-Greyjoy,Theon-Greyjoy,undirected,3,4,78
Aeron-Greyjoy,Victarion-Greyjoy,undirected,17,4,64
Aerys-II-Targaryen,Barristan-Selmy,undirected,4,4,77
Aerys-II-Targaryen,Cersei-Lannister,undirected,3,4,78
Aerys-II-Targaryen,Denys-Darklyn,undirected,4,4,77
Aerys-II-Targaryen,Elbert-Arryn,undirected,3,4,78
Aerys-II-Targaryen,Jaime-Lannister,undirected,6,4,75
Aerys-II-Targaryen,Owen-Merryweather,undirected,3,4,78
Aerys-II-Targaryen,Rhaegar-Targaryen,undirected,5,4,76
Aerys-II-Targaryen,Robert-Baratheon,undirected,3,4,78
Aerys-II-Targaryen,Tywin-Lannister,undirected,10,4,71
Alla-Tyrell,Elinor-Tyrell,undirected,8,4,73
Alla-Tyrell,Margaery-Tyrell,undirected,7,4,74
Alla-Tyrell,Megga-Tyrell,undirected,10,4,71
Alla-Tyrell,Osney-Kettleblack,undirected,3,4,78
Alleras,Armen,undirected,5,4,76
Alleras,Leo-Tyrell,undirected,7,4,74
Alleras,Marwyn,undirected,3,4,78
Alleras,Mollander,undirected,7,4,74
Alleras,Pate-(novice),undirected,8,4,73
Alleras,Roone,undirected,6,4,75
Alleras,Samwell-Tarly,undirected,8,4,73
Alys-Arryn,Elys-Waynwood,undirected,4,4,77
Alys-Arryn,Jon-Arryn,undirected,3,4,78
Amerei-Frey,Jaime-Lannister,undirected,6,4,75
Amerei-Frey,Lancel-Lannister,undirected,10,4,71
Amerei-Frey,Lyle-Crakehall,undirected,4,4,77
Anders-Yronwood,Quentyn-Martell,undirected,4,4,77
Andrey-Dalt,Arianne-Martell,undirected,10,4,71
Andrey-Dalt,Garin-(orphan),undirected,11,4,70
